batter,bowler,non_striker,runs_batter,runs_extras,runs_total,wickets_0_player_out,wickets_0_kind,team,over,extras_wides,wickets_0_fielders_0_name,review_by,review_umpire,review_batter,review_decision,review_type,extras_legbyes,wickets_0_fielders_1_name,extras_noballs,extras_penalty
Aaron Jones,Mohammed Siraj,SR Taylor,2,0,2,,,United States of America,3,,,,,,,,,,,
Aaron Jones,Mohammed Siraj,SR Taylor,0,0,0,,,United States of America,3,,,,,,,,,,,
Aaron Jones,Mohammed Siraj,SR Taylor,0,0,0,,,United States of America,3,,,,,,,,,,,
Aaron Jones,Mohammed Siraj,SR Taylor,0,0,0,,,United States of America,3,,,,,,,,,,,
Aaron Jones,Mohammed Siraj,SR Taylor,6,0,6,,,United States of America,3,,,,,,,,,,,
SR Taylor,JJ Bumrah,Aaron Jones,1,0,1,,,United States of America,4,,,,,,,,,,,
Aaron Jones,JJ Bumrah,SR Taylor,0,0,0,,,United States of America,4,,,,,,,,,,,
Aaron Jones,JJ Bumrah,SR Taylor,0,0,0,,,United States of America,4,,,,,,,,,,,
Aaron Jones,JJ Bumrah,SR Taylor,0,0,0,,,United States of America,4,,,,,,,,,,,
Aaron Jones,JJ Bumrah,SR Taylor,0,0,0,,,United States of America,4,,,,,,,,,,,
Aaron Jones,JJ Bumrah,SR Taylor,0,0,0,,,United States of America,4,,,,,,,,,,,
SR Taylor,HH Pandya,Aaron Jones,0,0,0,,,United States of America,5,,,,,,,,,,,
SR Taylor,HH Pandya,Aaron Jones,0,0,0,,,United States of America,5,,,,,,,,,,,
SR Taylor,HH Pandya,Aaron Jones,1,0,1,,,United States of America,5,,,,,,,,,,,
Aaron Jones,HH Pandya,SR Taylor,0,0,0,,,United States of America,5,,,,,,,,,,,
Aaron Jones,HH Pandya,SR Taylor,0,0,0,,,United States of America,5,,,,,,,,,,,
Aaron Jones,HH Pandya,SR Taylor,0,0,0,,,United States of America,5,,,,,,,,,,,
SR Taylor,JJ Bumrah,Aaron Jones,0,0,0,,,United States of America,6,,,,,,,,,,,
SR Taylor,JJ Bumrah,Aaron Jones,1,0,1,,,United States of America,6,,,,,,,,,,,
Aaron Jones,JJ Bumrah,SR Taylor,1,0,1,,,United States of America,6,,,,,,,,,,,
SR Taylor,JJ Bumrah,Aaron Jones,0,0,0,,,United States of America,6,,,,,,,,,,,
SR Taylor,JJ Bumrah,Aaron Jones,0,5,5,,,United States of America,6,5.0,,,,,,,,,,
SR Taylor,JJ Bumrah,Aaron Jones,0,0,0,,,United States of America,6,,,,,,,,,,,
SR Taylor,JJ Bumrah,Aaron Jones,0,0,0,,,United States of America,6,,,,,,,,,,,
Aaron Jones,HH Pandya,SR Taylor,0,0,0,,,United States of America,7,,,,,,,,,,,
Aaron Jones,HH Pandya,SR Taylor,0,0,0,Aaron Jones,caught,United States of America,7,,Mohammed Siraj,,,,,,,,,
NR Kumar,HH Pandya,SR Taylor,0,0,0,,,United States of America,7,,,,,,,,,,,
NR Kumar,HH Pandya,SR Taylor,1,0,1,,,United States of America,7,,,,,,,,,,,
SR Taylor,HH Pandya,NR Kumar,0,0,0,,,United States of America,7,,,,,,,,,,,
SR Taylor,HH Pandya,NR Kumar,0,0,0,,,United States of America,7,,,,,,,,,,,
NR Kumar,S Dube,SR Taylor,4,0,4,,,United States of America,8,,,,,,,,,,,
NR Kumar,S Dube,SR Taylor,1,0,1,,,United States of America,8,,,,,,,,,,,
SR Taylor,S Dube,NR Kumar,0,0,0,,,United States of America,8,,,,,,,,,,,
SR Taylor,S Dube,NR Kumar,0,0,0,,,United States of America,8,,,,,,,,,,,
SR Taylor,S Dube,NR Kumar,6,0,6,,,United States of America,8,,,,,,,,,,,
SR Taylor,S Dube,NR Kumar,0,0,0,,,United States of America,8,,,,,,,,,,,
NR Kumar,AR Patel,SR Taylor,0,0,0,,,United States of America,9,,,,,,,,,,,
NR Kumar,AR Patel,SR Taylor,1,0,1,,,United States of America,9,,,,,,,,,,,
SR Taylor,AR Patel,NR Kumar,1,0,1,,,United States of America,9,,,,,,,,,,,
NR Kumar,AR Patel,SR Taylor,1,0,1,,,United States of America,9,,,,,,,,,,,
SR Taylor,AR Patel,NR Kumar,1,0,1,,,United States of America,9,,,,,,,,,,,
NR Kumar,AR Patel,SR Taylor,1,0,1,,,United States of America,9,,,,,,,,,,,
NR Kumar,Mohammed Siraj,SR Taylor,0,0,0,,,United States of America,10,,,,,,,,,,,
NR Kumar,Mohammed Siraj,SR Taylor,2,0,2,,,United States of America,10,,,,,,,,,,,
NR Kumar,Mohammed Siraj,SR Taylor,1,0,1,,,United States of America,10,,,,,,,,,,,
SR Taylor,Mohammed Siraj,NR Kumar,1,0,1,,,United States of America,10,,,,,,,,,,,
NR Kumar,Mohammed Siraj,SR Taylor,1,0,1,,,United States of America,10,,,,,,,,,,,
SR Taylor,Mohammed Siraj,NR Kumar,1,0,1,,,United States of America,10,,,,,,,,,,,
SR Taylor,AR Patel,NR Kumar,2,0,2,,,United States of America,11,,,,,,,,,,,
SR Taylor,AR Patel,NR Kumar,0,0,0,,,United States of America,11,,,,,,,,,,,
SR Taylor,AR Patel,NR Kumar,6,0,6,,,United States of America,11,,,,,,,,,,,
SR Taylor,AR Patel,NR Kumar,0,0,0,SR Taylor,bowled,United States of America,11,,,,,,,,,,,
CJ Anderson,AR Patel,NR Kumar,1,0,1,,,United States of America,11,,,,,,,,,,,
NR Kumar,AR Patel,CJ Anderson,0,1,1,,,United States of America,11,1.0,,,,,,,,,,
NR Kumar,AR Patel,CJ Anderson,1,0,1,,,United States of America,11,,,,,,,,,,,
NR Kumar,HH Pandya,CJ Anderson,2,0,2,,,United States of America,12,,,,,,,,,,,
NR Kumar,HH Pandya,CJ Anderson,0,0,0,,,United States of America,12,,,,,,,,,,,
NR Kumar,HH Pandya,CJ Anderson,6,0,6,,,United States of America,12,,,,,,,,,,,
NR Kumar,HH Pandya,CJ Anderson,0,0,0,,,United States of America,12,,,,,,,,,,,
NR Kumar,HH Pandya,CJ Anderson,4,0,4,,,United States of America,12,,,,,,,,,,,
NR Kumar,HH Pandya,CJ Anderson,0,0,0,,,United States of America,12,,,,,,,,,,,
CJ Anderson,AR Patel,NR Kumar,0,0,0,,,United States of America,13,,,,,,,,,,,
CJ Anderson,AR Patel,NR Kumar,1,0,1,,,United States of America,13,,,,,,,,,,,
NR Kumar,AR Patel,CJ Anderson,1,0,1,,,United States of America,13,,,,,,,,,,,
CJ Anderson,AR Patel,NR Kumar,0,0,0,,,United States of America,13,,,,,,,,,,,
CJ Anderson,AR Patel,NR Kumar,6,0,6,,,United States of America,13,,,,,,,,,,,
CJ Anderson,AR Patel,NR Kumar,1,0,1,,,United States of America,13,,,,,,,,,,,
CJ Anderson,Arshdeep Singh,NR Kumar,1,0,1,,,United States of America,14,,,,,,,,,,,
NR Kumar,Arshdeep Singh,CJ Anderson,0,0,0,,,United States of America,14,,,,,,,,,,,
NR Kumar,Arshdeep Singh,CJ Anderson,0,0,0,,,United States of America,14,,,,,,,,,,,
NR Kumar,Arshdeep Singh,CJ Anderson,0,0,0,NR Kumar,caught,United States of America,14,,Mohammed Siraj,,,,,,,,,
Harmeet Singh,Arshdeep Singh,CJ Anderson,0,0,0,,,United States of America,14,,,,,,,,,,,
Harmeet Singh,Arshdeep Singh,CJ Anderson,0,0,0,,,United States of America,14,,,,,,,,,,,
CJ Anderson,JJ Bumrah,Harmeet Singh,4,0,4,,,United States of America,15,,,,,,,,,,,
CJ Anderson,JJ Bumrah,Harmeet Singh,0,0,0,,,United States of America,15,,,,,,,,,,,
CJ Anderson,JJ Bumrah,Harmeet Singh,1,0,1,,,United States of America,15,,,,,,,,,,,
Harmeet Singh,JJ Bumrah,CJ Anderson,6,0,6,,,United States of America,15,,,,,,,,,,,
Harmeet Singh,JJ Bumrah,CJ Anderson,3,0,3,,,United States of America,15,,,,,,,,,,,
CJ Anderson,JJ Bumrah,Harmeet Singh,0,0,0,,,United States of America,15,,,,,,,,,,,
Harmeet Singh,HH Pandya,CJ Anderson,0,0,0,,,United States of America,16,,,,,,,,,,,
Harmeet Singh,HH Pandya,CJ Anderson,0,0,0,,,United States of America,16,,,India,SJ Nogajski,Harmeet Singh,struck down,wicket,,,,
Harmeet Singh,HH Pandya,CJ Anderson,0,0,0,,,United States of America,16,,,,,,,,,,,
Harmeet Singh,HH Pandya,CJ Anderson,0,1,1,,,United States of America,16,,,,,,,,1.0,,,
CJ Anderson,HH Pandya,Harmeet Singh,0,0,0,CJ Anderson,caught,United States of America,16,,RR Pant,,,,,,,,,
SC van Schalkwyk,HH Pandya,Harmeet Singh,0,0,0,,,United States of America,16,,,,,,,,,,,
Harmeet Singh,Arshdeep Singh,SC van Schalkwyk,1,0,1,,,United States of America,17,,,,,,,,,,,
SC van Schalkwyk,Arshdeep Singh,Harmeet Singh,1,0,1,,,United States of America,17,,,,,,,,,,,
Harmeet Singh,Arshdeep Singh,SC van Schalkwyk,0,0,0,Harmeet Singh,caught,United States of America,17,,RR Pant,,,,,,,,,
Jasdeep Singh,Arshdeep Singh,SC van Schalkwyk,1,0,1,,,United States of America,17,,,,,,,,,,,
SC van Schalkwyk,Arshdeep Singh,Jasdeep Singh,1,0,1,,,United States of America,17,,,,,,,,,,,
Jasdeep Singh,Arshdeep Singh,SC van Schalkwyk,0,0,0,,,United States of America,17,,,,,,,,,,,
SC van Schalkwyk,JJ Bumrah,Jasdeep Singh,1,0,1,,,United States of America,18,,,,,,,,,,,
Jasdeep Singh,JJ Bumrah,SC van Schalkwyk,0,0,0,,,United States of America,18,,,,,,,,,,,
Jasdeep Singh,JJ Bumrah,SC van Schalkwyk,1,0,1,,,United States of America,18,,,,,,,,,,,
SC van Schalkwyk,JJ Bumrah,Jasdeep Singh,1,0,1,,,United States of America,18,,,,,,,,,,,
Jasdeep Singh,JJ Bumrah,SC van Schalkwyk,0,0,0,,,United States of America,18,,,,,,,,,,,
Jasdeep Singh,JJ Bumrah,SC van Schalkwyk,0,0,0,,,United States of America,18,,,,,,,,,,,
SC van Schalkwyk,Mohammed Siraj,Jasdeep Singh,0,0,0,,,United States of America,19,,,,,,,,,,,
SC van Schalkwyk,Mohammed Siraj,Jasdeep Singh,4,0,4,,,United States of America,19,,,,,,,,,,,
SC van Schalkwyk,Mohammed Siraj,Jasdeep Singh,0,0,0,,,United States of America,19,,,,,,,,,,,
SC van Schalkwyk,Mohammed Siraj,Jasdeep Singh,2,0,2,,,United States of America,19,,,,,,,,,,,
SC van Schalkwyk,Mohammed Siraj,Jasdeep Singh,1,0,1,,,United States of America,19,,,,,,,,,,,
Jasdeep Singh,Mohammed Siraj,SC van Schalkwyk,0,0,0,Jasdeep Singh,run out,United States of America,19,,RR Pant,,,,,,,Mohammed Siraj,,
RG Sharma,SN Netravalkar,V Kohli,1,0,1,,,India,0,,,,,,,,,,,
V Kohli,SN Netravalkar,RG Sharma,0,0,0,V Kohli,caught,India,0,,AGS Gous,,,,,,,,,
RR Pant,SN Netravalkar,RG Sharma,0,0,0,,,India,0,,,,,,,,,,,
RR Pant,SN Netravalkar,RG Sharma,0,0,0,,,India,0,,,,,,,,,,,
RR Pant,SN Netravalkar,RG Sharma,0,0,0,,,India,0,,,,,,,,,,,
RR Pant,SN Netravalkar,RG Sharma,1,0,1,,,India,0,,,,,,,,,,,
RR Pant,Ali Khan,RG Sharma,4,0,4,,,India,1,,,,,,,,,,,
RR Pant,Ali Khan,RG Sharma,0,1,1,,,India,1,,,,,,,,1.0,,,
RG Sharma,Ali Khan,RR Pant,1,0,1,,,India,1,,,,,,,,,,,
RR Pant,Ali Khan,RG Sharma,1,0,1,,,India,1,,,,,,,,,,,
RG Sharma,Ali Khan,RR Pant,0,0,0,,,India,1,,,,,,,,,,,
RG Sharma,Ali Khan,RR Pant,1,0,1,,,India,1,,,,,,,,,,,
RG Sharma,SN Netravalkar,RR Pant,0,0,0,,,India,2,,,,,,,,,,,
RG Sharma,SN Netravalkar,RR Pant,0,0,0,RG Sharma,caught,India,2,,Harmeet Singh,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,0,0,0,,,India,2,,,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,0,0,0,,,India,2,,,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,1,0,1,,,India,2,,,,,,,,,,,
RR Pant,SN Netravalkar,SA Yadav,1,0,1,,,India,2,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,1,0,1,,,India,3,,,,,,,,,,,
SA Yadav,Jasdeep Singh,RR Pant,1,0,1,,,India,3,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,1,0,1,,,India,3,,,,,,,,,,,
SA Yadav,Jasdeep Singh,RR Pant,0,0,0,,,India,3,,,,,,,,,,,
SA Yadav,Jasdeep Singh,RR Pant,1,0,1,,,India,3,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,0,0,0,,,India,3,,,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,0,0,0,,,India,4,,,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,6,0,6,,,India,4,,,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,2,0,2,,,India,4,,,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,0,0,0,,,India,4,,,,,,,,,,,
SA Yadav,SN Netravalkar,RR Pant,1,0,1,,,India,4,,,,,,,,,,,
RR Pant,SN Netravalkar,SA Yadav,0,0,0,,,India,4,,,,,,,,,,,
SA Yadav,Jasdeep Singh,RR Pant,0,1,1,,,India,5,,,,,,,,,,1.0,
SA Yadav,Jasdeep Singh,RR Pant,1,0,1,,,India,5,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,0,0,0,,,India,5,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,6,0,6,,,India,5,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,0,0,0,,,India,5,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,0,0,0,,,India,5,,,,,,,,,,,
RR Pant,Jasdeep Singh,SA Yadav,0,0,0,,,India,5,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,RR Pant,0,0,0,,,India,6,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,RR Pant,1,0,1,,,India,6,,,,,,,,,,,
RR Pant,SC van Schalkwyk,SA Yadav,1,0,1,,,India,6,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,RR Pant,0,0,0,,,India,6,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,RR Pant,0,0,0,,,India,6,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,RR Pant,1,0,1,,,India,6,,,,,,,,,,,
SA Yadav,Ali Khan,RR Pant,1,0,1,,,India,7,,,,,,,,,,,
RR Pant,Ali Khan,SA Yadav,2,0,2,,,India,7,,,,,,,,,,,
RR Pant,Ali Khan,SA Yadav,0,0,0,RR Pant,bowled,India,7,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,0,0,0,,,India,7,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,0,0,0,,,India,7,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,0,0,0,,,India,7,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,0,0,0,,,India,8,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,0,0,0,,,India,8,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,1,0,1,,,India,8,,,,,,,,,,,
S Dube,SC van Schalkwyk,SA Yadav,0,0,0,,,India,8,,,,,,,,,,,
S Dube,SC van Schalkwyk,SA Yadav,0,0,0,,,India,8,,,,,,,,,,,
S Dube,SC van Schalkwyk,SA Yadav,1,0,1,,,India,8,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,1,0,1,,,India,9,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,2,0,2,,,India,9,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,1,0,1,,,India,9,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,0,1,1,,,India,9,1.0,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,0,0,0,,,India,9,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,1,0,1,,,India,9,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,0,0,0,,,India,9,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,2,0,2,,,India,10,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,0,0,0,,,India,10,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,0,0,0,,,India,10,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,0,0,0,,,India,10,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,0,0,0,,,India,10,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,4,0,4,,,India,10,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,1,0,1,,,India,11,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,0,0,0,,,India,11,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,1,0,1,,,India,11,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,0,0,0,,,India,11,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,0,0,0,,,India,11,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,0,0,0,,,India,11,,,,,,,,,,,
S Dube,SC van Schalkwyk,SA Yadav,1,0,1,,,India,12,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,1,0,1,,,India,12,,,,,,,,,,,
S Dube,SC van Schalkwyk,SA Yadav,1,0,1,,,India,12,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,1,0,1,,,India,12,,,,,,,,,,,
S Dube,SC van Schalkwyk,SA Yadav,1,0,1,,,India,12,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,0,0,0,,,India,12,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,0,0,0,,,India,13,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,1,0,1,,,India,13,,,,,,,,,,,
SA Yadav,Ali Khan,S Dube,1,0,1,,,India,13,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,0,0,0,,,India,13,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,1,0,1,,,India,13,,,,,,,,,,,
SA Yadav,Ali Khan,S Dube,4,0,4,,,India,13,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,0,0,0,,,India,14,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,6,0,6,,,India,14,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,1,0,1,,,India,14,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,0,0,0,,,India,14,,,,,,,,,,,
SA Yadav,CJ Anderson,S Dube,1,0,1,,,India,14,,,,,,,,,,,
S Dube,CJ Anderson,SA Yadav,1,5,6,,,India,14,,,,,,,,,,,5.0
S Dube,Jasdeep Singh,SA Yadav,2,0,2,,,India,15,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,1,0,1,,,India,15,,,,,,,,,,,
SA Yadav,Jasdeep Singh,S Dube,1,0,1,,,India,15,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,1,0,1,,,India,15,,,,,,,,,,,
SA Yadav,Jasdeep Singh,S Dube,1,0,1,,,India,15,,,,,,,,,,,
S Dube,Jasdeep Singh,SA Yadav,0,0,0,,,India,15,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,1,0,1,,,India,16,,,,,,,,,,,
S Dube,SC van Schalkwyk,SA Yadav,1,0,1,,,India,16,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,6,0,6,,,India,16,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,4,0,4,,,India,16,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,2,0,2,,,India,16,,,,,,,,,,,
SA Yadav,SC van Schalkwyk,S Dube,1,0,1,,,India,16,,,,,,,,,,,
SA Yadav,SN Netravalkar,S Dube,2,0,2,,,India,17,,,,,,,,,,,
SA Yadav,SN Netravalkar,S Dube,1,0,1,,,India,17,,,,,,,,,,,
S Dube,SN Netravalkar,SA Yadav,1,0,1,,,India,17,,,,,,,,,,,
SA Yadav,SN Netravalkar,S Dube,0,0,0,,,India,17,,,,,,,,,,,
SA Yadav,SN Netravalkar,S Dube,0,0,0,,,India,17,,,,,,,,,,,
SA Yadav,SN Netravalkar,S Dube,1,0,1,,,India,17,,,,,,,,,,,
SA Yadav,Ali Khan,S Dube,1,0,1,,,India,18,,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,0,1,1,,,India,18,1.0,,,,,,,,,,
S Dube,Ali Khan,SA Yadav,2,0,2,,,India,18,,,,,,,,,,,
